Method 8,Y1/PC_05 (X-Variables),Y2/PC_06 (X-Variables),Y4/PC_07 (X-Variables),Y5/PC_06 (X-Variables),Y8/PC_07 (X-Variables)
64,-4.083,-0.01942,13.823,17.934,-14.64
65,3.808,1.328,10.188,42.485,-55.987
66,17.062,3.301,12.913,76.619,-53.646
67,31.42,5.335,18.942,116.672,-25.033
68,41.453,6.681,26.256,171.736,4.556
69,41.837,6.317,44.536,234.864,91.981
70,30.455,3.929,64.038,248.812,217.683
71,22.599,2.448,53.453,164.395,212.539
72,23.053,2.783,16.634,38.866,44.812
73,18.553,1.878,-12.108,-15.607,-104.876
74,21.529,1.056,2.209,9.096,-1.09
75,28.002,2.229,37.802,107.745,157.537
76,29.661,3.304,43.87,161.625,140.85
77,31.274,3.888,41.33,128.168,137.944
78,29.468,4.548,33.181,122.838,100.088
79,25.844,4.096,11.965,117.727,-14.8
80,23.836,3.156,9.249,102.402,2.238
81,20.637,2.542,12.369,101.937,59.508
82,16.259,1.75,9.487,87.955,50.242
83,14.185,0.766,4.537,46.824,43.158
84,4.209,-1.144,-7.537,-4.587,31.676
85,-10.499,-3.064,-16.673,-45.226,25.006
86,-20.53,-4.003,-17.5,-46.983,26.061
87,-23.369,-4.178,-23.014,-46.305,-33.471
88,-20.768,-3.567,-30.078,-80.783,-90.917
89,-20.529,-3.503,-31.529,-141.095,-71.88
90,-19.987,-3.477,-33.962,-157.251,-76.528
91,-17.262,-2.934,-30.554,-142.75,-93.11
92,-11.584,-2.367,-20.789,-102.011,-70.681
93,-1.56,-1.039,-7.397,5.011,-22.721
94,4.404,-0.264,-2.446,34.849,-15.712
95,5.997,0.09692,-8.627,-8.712,-44.435
96,4.607,0.422,-8.049,-27.426,-40.172
97,2.949,0.29,-9.491,-34.83,-53.152
98,0.01262,-0.16,-24.152,-45.119,-105.59
99,0.813,-0.08685,-24.617,-33.798,-107.304
100,2.599,0.217,-13.74,-32.548,-57.307
101,0.53,-0.133,-13.785,-33.061,-42.041
102,3.008,-0.222,-9.116,-9.189,-24.401
103,3.168,-0.528,-8.273,-22.947,-19.435
104,1.646,-0.701,-13.97,-16.921,-48.986
105,0.664,-0.595,-11.3,-5.779,-44.243
106,-6.088,-1.25,-13.404,-28.396,-12.051
107,-10.796,-1.784,-14.485,-44.513,2.88
108,-12.926,-1.921,-9.069,-42.271,24.344
109,-9.608,-1.663,-6.036,-17.849,54.732
110,-5.003,-1.397,-4.555,-7.089,28.573
111,-8.047,-1.637,-4.919,-14.735,16.466
112,-8.936,-1.588,-4.745,-6.872,37.39
113,-8.977,-1.322,0.889,-12.541,57.698
114,-11.694,-1.488,-3.367,-40.441,62.896
115,-9.721,-1.489,-5.178,-29.146,50.599
116,-6.046,-0.992,4.828,1.563,64.775
117,-1.61,-0.126,6.784,25.838,73.036
118,1.399,0.246,2.812,20.651,74.771
119,0.581,-0.274,-1.156,-5.667,34.389
120,3.636,0.09901,4.375,-3.674,16.146
121,10.872,1.41,0.232,2.557,17.185
122,14.359,1.809,-6.409,20.965,-8.421
123,12.06,1.214,5.9,38.821,54.098
124,7.965,0.377,-14.987,-52.385,-26.138
125,16.735,1.151,-23.186,-53.916,1.044
126,19.59,1.895,0.87,57.512,106.883
127,-2.85,-0.639,-4.137,45.886,0.343
128,-36.226,-4.647,-40.823,-131.727,-123.992
129,-42.391,-3.161,-46.862,-257.858,-165.076
130,-25.355,0.299,-21.137,-191.411,-28.288
131,-4.59,1.036,-1.171,23.518,155.61
132,4.07,1.59,12.518,146.267,49.068
133,-4.753,0.168,-13.903,-0.192,-195.029
134,7.959,-0.07512,-11.924,-67.254,-121.558
135,40.261,3.185,26.637,44.19,8.735
136,55.928,5.589,32.279,103.399,84.087
137,62.749,7.36,44.045,198.85,171.375
138,63.898,7.19,47.056,278.512,36.719
139,57.484,6.167,60.883,227.686,22.882
140,42.726,4.579,33.51,132.613,98.473
141,17.09,1.228,-35.318,30.21,17.47
142,8.583,0.242,-25.713,-8.054,-14.108
143,5.074,0.224,-5.792,-18.483,-117.419
144,6.057,0.973,-7.684,-31.727,-154.413
145,0.972,0.08253,-27.806,-63.937,-121.735
146,-9.897,-1.657,-42.032,-73.98,-139.893
147,-11.409,-2.515,-32.936,-81.136,-139.945
148,-17.966,-2.935,-33.906,-114.774,-128.027
149,-29.471,-3.268,-58.334,-199.886,-258.466
150,0,0,0,0,0
